2025-06-05 13:12:55.119526	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&assay_title=WGBS&assay_title=polyA+plus+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR011HZJ/	ENCSR011HZJ	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens testis tissue male adult (54 years)	testis	GEO:GSE127281	WGBS on testis	Richard Myers, HAIB	ENCODE	released	/files/ENCFF179CZD/,/files/ENCFF102UTS/,/files/ENCFF507JBR/,/files/ENCFF715DMX/,/files/ENCFF021VWF/,/files/ENCFF157ZPP/,/files/ENCFF988EUT/,/files/ENCFF296YWY/,/files/ENCFF684MKR/,/files/ENCFF038JFQ/,/files/ENCFF944YPF/,/files/ENCFF362MEI/,/files/ENCFF745IBK/,/files/ENCFF925RWN/,/files/ENCFF887HIO/,/files/ENCFF053FUK/,/files/ENCFF602MJL/,/files/ENCFF385LYF/,/files/ENCFF986BSX/,/files/ENCFF082IED/		ENCBS955OSA	1	1		Homo sapiens	adult	54 years												/replicates/3fce70b4-88e0-4911-8bd9-ecbc26e6d3c6/				
/experiments/ENCSR128RMY/	ENCSR128RMY	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens lower leg skin tissue male adult (37 years)	lower leg skin	GEO:GSE127285	WGBS on skin tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF725RID/,/files/ENCFF942RWM/,/files/ENCFF307ZEE/,/files/ENCFF427LQJ/,/files/ENCFF673WUB/,/files/ENCFF177AGZ/,/files/ENCFF219GCQ/,/files/ENCFF008CKL/,/files/ENCFF715TWU/,/files/ENCFF929BSI/,/files/ENCFF049UAN/,/files/ENCFF553TBM/,/files/ENCFF520YPF/,/files/ENCFF777SRT/,/files/ENCFF209MPM/,/files/ENCFF335QHR/,/files/ENCFF395FJR/,/files/ENCFF955RLG/,/files/ENCFF309PPW/,/files/ENCFF439MAA/		ENCBS215WEN	1	1		Homo sapiens	adult	37 years												/replicates/3f1c6816-9e28-48d4-b940-2e218a680bdd/				
/experiments/ENCSR806NNG/	ENCSR806NNG	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens testis tissue male adult (37 years)	testis	GEO:GSE127321	WGBS on testis	Richard Myers, HAIB	ENCODE	released	/files/ENCFF357SKM/,/files/ENCFF158ITS/,/files/ENCFF347YMS/,/files/ENCFF848CZN/,/files/ENCFF638QVP/,/files/ENCFF949IHY/,/files/ENCFF497RCO/,/files/ENCFF248XSA/,/files/ENCFF668VFA/,/files/ENCFF946UQB/,/files/ENCFF544SOH/,/files/ENCFF116LAE/,/files/ENCFF275ISU/,/files/ENCFF790NAU/,/files/ENCFF096RXQ/,/files/ENCFF926RAG/,/files/ENCFF105JPV/,/files/ENCFF771LIM/,/files/ENCFF605LXM/,/files/ENCFF656ITR/	/reference-epigenomes/ENCSR493GDU/	ENCBS726XJU	1	1		Homo sapiens	adult	37 years												/replicates/4a57bf49-0201-4e43-895d-b67ede887e64/				
/experiments/ENCSR803SIO/	ENCSR803SIO	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens ovary tissue female adult (51 years)	ovary	GEO:GSE127320	whole genome bisulfite sequencing from human ovary tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF494WLO/,/files/ENCFF508YIS/,/files/ENCFF552DTV/,/files/ENCFF833ORQ/,/files/ENCFF167FEY/,/files/ENCFF940PPF/,/files/ENCFF515OOQ/,/files/ENCFF411PSS/,/files/ENCFF189WPY/,/files/ENCFF676ALA/,/files/ENCFF758FWO/,/files/ENCFF520MGQ/,/files/ENCFF636DPM/,/files/ENCFF454NPL/,/files/ENCFF155PKX/,/files/ENCFF423JNP/,/files/ENCFF072OIA/,/files/ENCFF300ZXR/,/files/ENCFF565PCL/,/files/ENCFF353NYQ/		ENCBS955MMY	1	1		Homo sapiens	adult	51 years												/replicates/8370fa6f-7d61-4e9c-863e-3758e04e5ae1/				
/experiments/ENCSR305VIT/	ENCSR305VIT	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens ovary tissue female adult (53 years)	ovary	GEO:GSE127293	whole genome bisulfite sequencing from human ovary tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF040DKE/,/files/ENCFF506KBZ/,/files/ENCFF838SMZ/,/files/ENCFF328YEO/,/files/ENCFF052DAU/,/files/ENCFF993NQL/,/files/ENCFF490SFF/,/files/ENCFF561KYJ/,/files/ENCFF303ZGP/,/files/ENCFF425UGD/,/files/ENCFF716SXG/,/files/ENCFF595NPP/,/files/ENCFF145GKA/,/files/ENCFF775MYJ/,/files/ENCFF284XWH/,/files/ENCFF257UKV/,/files/ENCFF600AAH/,/files/ENCFF621GHS/,/files/ENCFF963OES/,/files/ENCFF358FEZ/		ENCBS886KXL	1	1		Homo sapiens	adult	53 years												/replicates/b18d0793-58af-4d28-841f-47537879c077/				
/experiments/ENCSR930WUY/	ENCSR930WUY	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens lower leg skin tissue female adult (51 years)	lower leg skin	GEO:GSE127326	WGBS on skin tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF822VWY/,/files/ENCFF986FED/,/files/ENCFF431VXU/,/files/ENCFF692ZLO/,/files/ENCFF346OVC/,/files/ENCFF156YIN/,/files/ENCFF071OFT/,/files/ENCFF523EPC/,/files/ENCFF376NHW/,/files/ENCFF121VIX/,/files/ENCFF190IRZ/,/files/ENCFF510DHU/,/files/ENCFF499PTD/,/files/ENCFF978LIV/,/files/ENCFF612LVP/,/files/ENCFF362EJP/,/files/ENCFF039JPE/,/files/ENCFF550TWF/,/files/ENCFF574SNJ/,/files/ENCFF866SKJ/		ENCBS577EBP	1	1		Homo sapiens	adult	51 years												/replicates/67620018-9393-4301-b19a-fce7d2e24759/				
/experiments/ENCSR156JXJ/	ENCSR156JXJ	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens transverse colon tissue male adult (54 years)	transverse colon	GEO:GSE127289	The library contained in this Experiment comes from whole genome bisulfite sequencing of human transverse colon tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF855UGO/,/files/ENCFF545EFW/,/files/ENCFF215OBA/,/files/ENCFF908FQN/,/files/ENCFF467CNX/,/files/ENCFF665HHC/,/files/ENCFF451KEH/,/files/ENCFF257IZD/,/files/ENCFF424XKF/,/files/ENCFF283ELH/,/files/ENCFF504OJG/,/files/ENCFF081MBU/,/files/ENCFF940HTL/,/files/ENCFF911ZIV/,/files/ENCFF452VCS/,/files/ENCFF875JEL/,/files/ENCFF169BVN/,/files/ENCFF516WXU/,/files/ENCFF133DSI/,/files/ENCFF538JSB/	/reference-epigenomes/ENCSR795WVC/	ENCBS690YNV	1	1		Homo sapiens	adult	54 years												/replicates/6f88c7c3-a976-4397-a4e5-694d0cb78162/				
/experiments/ENCSR166VVF/	ENCSR166VVF	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens suprapubic skin tissue female adult (51 years)	suprapubic skin	GEO:GSE127290	WGBS on skin tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF015ZZE/,/files/ENCFF809ZVD/,/files/ENCFF951BER/,/files/ENCFF502SJA/,/files/ENCFF649IEY/,/files/ENCFF909VWC/,/files/ENCFF762OQA/,/files/ENCFF119AZS/,/files/ENCFF706NQD/,/files/ENCFF019FIO/,/files/ENCFF545QOM/,/files/ENCFF221CNC/		ENCBS767XTZ	1	1		Homo sapiens	adult	51 years												/replicates/c508871c-735b-4c12-9bd2-a7aaa096c0ff/				
/experiments/ENCSR658MZU/	ENCSR658MZU	whole-genome shotgun bisulfite sequencing	WGBS	tissue				Homo sapiens tibial nerve tissue male adult (54 years)	tibial nerve	GEO:GSE127308	WGBS on tibial nerve tissue	Richard Myers, HAIB	ENCODE	released	/files/ENCFF329YKL/,/files/ENCFF700WCW/,/files/ENCFF480VWO/,/files/ENCFF759UUY/,/files/ENCFF699KTW/,/files/ENCFF764SSM/,/files/ENCFF192JUN/,/files/ENCFF439JNT/,/files/ENCFF968DML/,/files/ENCFF044VIR/,/files/ENCFF120QGX/,/files/ENCFF232ZZU/,/files/ENCFF188FBQ/,/files/ENCFF257LZB/,/files/ENCFF402FIK/,/files/ENCFF279SWO/,/files/ENCFF476SDK/,/files/ENCFF223QOM/,/files/ENCFF845OVF/,/files/ENCFF468ODR/	/reference-epigenomes/ENCSR850UFY/	ENCBS705RPQ	1	1		Homo sapiens	adult	54 years												/replicates/15bdea34-7295-4175-8b06-4c7fa6b885a6/				
/experiments/ENCSR714QAF/	ENCSR714QAF	polyA plus RNA-seq	polyA plus RNA-seq	tissue				Homo sapiens mole tissue female	mole	GEO:GSM1582478	The RNA-Seq libraries contained in this experiment are from the mole tissue of a healthy female.	Joseph Costello, UCSF	Roadmap	released	/files/SRR2173286/,/files/ENCFF738EOE/,/files/ENCFF838AKN/,/files/ENCFF725YPK/,/files/ENCFF983CTU/,/files/ENCFF270NPZ/,/files/ENCFF986WHE/,/files/ENCFF005IXP/,/files/ENCFF060YSG/,/files/ENCFF726KPQ/,/files/ENCFF337TLY/,/files/ENCFF694HPM/,/files/ENCFF500AEM/,/files/ENCFF628ING/,/files/ENCFF183JAM/,/files/ENCFF919GTX/,/files/ENCFF138CQM/,/files/ENCFF395RHP/,/files/ENCFF763OPX/,/files/ENCFF967RWA/,/files/ENCFF381KMN/,/files/ENCFF155PWD/,/files/ENCFF901FUD/,/files/ENCFF496RMH/,/files/ENCFF235GGI/,/files/ENCFF384EAD/,/files/ENCFF199PUI/,/files/ENCFF037POP/,/files/ENCFF226BTX/		ENCBS966ZMO	1	1		Homo sapiens	unknown													/replicates/919a47f8-b23e-431c-9ea0-9dcb6990df63/				
